# s_x s_a s_y II_00 II_01 II_11 Psi
0.114578654 0 0 0 0 0 0.2567759043
0.124049833 0 0 0 0 0 0.271092249
0.133593384 0 0 0 0 0 0.286935379
0.143209799 0 0 0 0 0 0.3043789693
0.15289957 0 0 0 0 0 0.323488598
0.162663196 0 0 0 0 0 0.3443428359
0.172501177 0 0 0 0 0 0.3670248075
0.182414014 0 0 0 0 0 0.3916052173
0.192402214 0 0 0 0 0 0.4181549921
0.202466287 0 0 0 0 0 0.4467437105
0.212606743 0 0 0 0 0 0.4774321211
0.222824098 0 0 0 0 0 0.5102875753
0.233118869 0 0 0 0 0 0.545380319
0.243491578 0 0 0 0 0 0.5827801655
0.253942749 0 0 0 0 0 0.6225542068
0.264472908 0 0 0 0 0 0.6647637699
0.275082586 0 0 0 0 0 0.7094691747
0.285772316 0 0 0 0 0 0.756733727
0.296542635 0 0 0 0 0 0.8066196722
0.307394083 0 0 0 0 0 0.8591928537
0.318327201 0 0 0 0 0 0.9145149328
0.329342536 0 0 0 0 0 0.9726538103
0.340440638 0 0 0 0 0 1.033677028
0.351622057 0 0 0 0 0 1.097654354
0.362887351 0 0 0 0 0 1.164657007
0.374237077 0 0 0 0 0 1.23475
0.385671798 0 0 0 0 0 1.308000376
0.39719208 0 0 0 0 0 1.384473867
0.408798489 0 0 0 0 0 1.464236696
0.4204916 0 0 0 0 0 1.547352271
0.432271986 0 0 0 0 0 1.633890442
0.444140226 0 0 0 0 0 1.723922582
0.456096903 0 0 0 0 0 1.817519223
0.468142601 0 0 0 0 0 1.914745678
0.48027791 0 0 0 0 0 2.015673499
0.49250342 0 0 0 0 0 2.120372053
0.504819729 0 0 0 0 0 2.228918322
0.517227434 0 0 0 0 0 2.341379666
0.529727138 0 0 0 0 0 2.457826703
0.542319447 0 0 0 0 0 2.578332587
0.55500497 0 0 0 0 0 2.702975954
0.56778432 0 0 0 0 0 2.831828834
0.580658114 0 0 0 0 0 2.964957919
0.593626971 0 0 0 0 0 3.102433618
0.606691515 0 0 0 0 0 3.244342031
0.619852372 0 0 0 0 0 3.390764715
0.633110174 0 0 0 0 0 3.541788085
0.646465555 0 0 0 0 0 3.697494405
0.659919153 0 0 0 0 0 3.857961573
0.673471608 0 0 0 0 0 4.02326761
0.687123567 0 0 0 0 0 4.193499282
0.700875678 0 0 0 0 0 4.368753024
0.714728594 0 0 0 0 0 4.549130017
0.72868297 0 0 0 0 0 4.734719177
0.742739468 0 0 0 0 0 4.925612495
0.75689875 0 0 0 0 0 5.121906259
0.771161485 0 0 0 0 0 5.323692386
0.785528343 0 0 0 0 0 5.531063639
0.8 0 0 0 0 0 5.744114534
0 -0.75 0 0 0 0 2.110494367
0 -0.7300009009 0 0 0 0 1.893102813
0 -0.7102720598 0 0 0 0 1.637592028
0 -0.6908134769 0 0 0 0 1.498136838
0 -0.671625152 0 0 0 0 1.419235702
0 -0.6527070853 0 0 0 0 1.304402606
0 -0.6340592766 0 0 0 0 1.202435277
0 -0.615681726 0 0 0 0 1.198643666
0 -0.5975744336 0 0 0 0 1.112772796
0 -0.5797373992 0 0 0 0 0.9568472161
0 -0.5621706229 0 0 0 0 0.8941157792
0 -0.5448741048 0 0 0 0 0.8355553231
0 -0.5278478447 0 0 0 0 0.781247579
0 -0.5110918427 0 0 0 0 0.7320121935
0 -0.4946060988 0 0 0 0 0.6870818489
0 -0.478390613 0 0 0 0 0.6457172149
0 -0.4624453853 0 0 0 0 0.6075823039
0 -0.4467704157 0 0 0 0 0.5721323843
0 -0.4313657042 0 0 0 0 0.5390876641
0 -0.4162312508 0 0 0 0 0.5076000394
0 -0.4013670555 0 0 0 0 0.4782325393
0 -0.3867731183 0 0 0 0 0.4505597194
0 -0.3724494392 0 0 0 0 0.4243696246
0 -0.3583960182 0 0 0 0 0.3997529596
0 -0.3446128553 0 0 0 0 0.3767080021
0 -0.3310999505 0 0 0 0 0.3556784187
0 -0.3178573037 0 0 0 0 0.3369035184
0 -0.3048849151 0 0 0 0 0.3200439135
0 -0.2921827846 0 0 0 0 0.3051445101
0 -0.2797509121 0 0 0 0 0.2919747374
0 -0.2675892978 0 0 0 0 0.2803638636
0 -0.2556979415 0 0 0 0 0.2700047793
0 -0.2440768434 0 0 0 0 0.2606456281
0 -0.2327260033 0 0 0 0 0.2522307443
0 -0.2216454214 0 0 0 0 0.2446487629
0 -0.2108350975 0 0 0 0 0.2377925243
0 -0.2002950318 0 0 0 0 0.2316108072
0 -0.1900252241 0 0 0 0 0.2260476299
0 -0.1800256745 0 0 0 0 0.2210366312
0 -0.170296383 0 0 0 0 0.2165120436
0 -0.1608373497 0 0 0 0 0.2124279544
0 -0.1516485744 0 0 0 0 0.2087484309
0 -0.1427300572 0 0 0 0 0.2054359775
0 -0.1340817981 0 0 0 0 0.2024562557
0 -0.1257037971 0 0 0 0 0.1997713876
0 -0.1175960542 0 0 0 0 0.1973508579
0 -0.1097585694 0 0 0 0 0.1951615827
0 -0.1021913427 0 0 0 0 0.1931759522
0 -0.09489437413 0 0 0 0 0.1913733742
0 -0.08786766362 0 0 0 0 0.1897395743
