# s_x s_a s_y II_00 II_01 II_11 Psi
-0.2363537198 0 0 0 0 0 0.09609824096
-0.2279230512 0 0 0 0 0 0.09104669649
-0.2194087076 0 0 0 0 0 0.08605244252
-0.2108099517 0 0 0 0 0 0.1091228246
-0.2021260403 0 0 0 0 0 0.07617072784
-0.1933562247 0 0 0 0 0 0.07131738452
-0.1844997503 0 0 0 0 0 0.06652556374
-0.1755558569 0 0 0 0 0 0.06179910558
-0.1665237781 0 0 0 0 0 0.05715393986
-0.157402742 0 0 0 0 0 0.05259268578
-0.1481919707 0 0 0 0 0 0.04807994211
-0.1388906802 0 0 0 0 0 0.04360733738
-0.1294980807 0 0 0 0 0 0.03918766467
-0.1200133763 0 0 0 0 0 0.0348650383
-0.110435765 0 0 0 0 0 0.03065895568
-0.1007644387 0 0 0 0 0 0.02659298983
-0.0909985833 0 0 0 0 0 0.0227582785
-0.0811373783 0 0 0 0 0 0.01921457386
-0.0711799971 0 0 0 0 0 0.01596760749
-0.0611256069 0 0 0 0 0 0.01304326107
-0.0509733684 0 0 0 0 0 0.01042533176
-0.0407224362 0 0 0 0 0 0.00813068285
-0.0303719582 0 0 0 0 0 0.006106873595
-0.0199210763 0 0 0 0 0 0.004531672086
-0.0093689255 0 0 0 0 0 0.003321864795
0.001285365 0 0 0 0 0 0.00234744595
0.012042675 0 0 0 0 0 0.001617664282
0.022903886 0 0 0 0 0 0.001156528269
0.033869891 0 0 0 0 0 0.001033943763
0.044941588 0 0 0 0 0 0.001372203593
0.05611988 0 0 0 0 0 0.002393256002
0.06740568 0 0 0 0 0 0.004393068314
0.078799905 0 0 0 0 0 0.007953102387
0.09030348 0 0 0 0 0 0.01369983986
0.101917337 0 0 0 0 0 0.02219877687
0.113642415 0 0 0 0 0 0.03415340728
0.12547966 0 0 0 0 0 0.05036601297
0.137430024 0 0 0 0 0 0.07169185836
0.149494468 0 0 0 0 0 0.09900104419
0.161673957 0 0 0 0 0 0.1331506847
0.173969467 0 0 0 0 0 0.1750973578
0.186381979 0 0 0 0 0 0.2256855232
0.198912481 0 0 0 0 0 0.2859183503
0.211561969 0 0 0 0 0 0.3567082585
0.224331447 0 0 0 0 0 0.4391030881
0.237221925 0 0 0 0 0 0.5340469616
0.250234422 0 0 0 0 0 0.642550825
0.263369962 0 0 0 0 0 0.7651091775
0.276629579 0 0 0 0 0 0.9027870924
0.290014315 0 0 0 0 0 1.056116882
0.303525216 0 0 0 0 0 1.226367092
0.317163339 0 0 0 0 0 1.414118812
0.330929748 0 0 0 0 0 1.620171538
0.344825514 0 0 0 0 0 1.845315512
0.358851717 0 0 0 0 0 2.090312369
0.373009444 0 0 0 0 0 2.35591743
0.38729979 0 0 0 0 0 2.64288725
0.401723857 0 0 0 0 0 2.951965464
0.416282758 0 0 0 0 0 3.283907942
0.430977612 0 0 0 0 0 3.640261054
0.445809545 0 0 0 0 0 4.020245286
0.460779693 0 0 0 0 0 4.425354178
0.4758892 0 0 0 0 0 4.856373774
0.491139218 0 0 0 0 0 5.314086664
0.506530907 0 0 0 0 0 5.79681187
0.522065436 0 0 0 0 0 6.309832237
0.537743982 0 0 0 0 0 6.851676177
0.55356773 0 0 0 0 0 7.421422597
0.569537875 0 0 0 0 0 8.023842578
0.585655619 0 0 0 0 0 8.657805434
0.601922174 0 0 0 0 0 9.32516718
0.61833876 0 0 0 0 0 10.02430428
0.634906604 0 0 0 0 0 10.75743016
0.651626946 0 0 0 0 0 11.52542411
0.668501031 0 0 0 0 0 12.32916982
0.685530115 0 0 0 0 0 13.16956983
0.702715462 0 0 0 0 0 14.04753917
0.720058345 0 0 0 0 0 14.96399967
0.737560046 0 0 0 0 0 15.9199033
0.755221858 0 0 0 0 0 16.91621372
0.77304508 0 0 0 0 0 17.95390871
0.791031023 0 0 0 0 0 19.03397737
0.809181005 0 0 0 0 0 20.15741383
0.827496356 0 0 0 0 0 21.32523662
0.845978414 0 0 0 0 0 22.53849982
0.864628525 0 0 0 0 0 23.79827738
0.883448046 0 0 0 0 0 25.10565688
0.902438345 0 0 0 0 0 26.4617338
0.921600797 0 0 0 0 0 27.8676306
0.940936788 0 0 0 0 0 29.32448083
0.960447713 0 0 0 0 0 30.83344681
0.980134979 0 0 0 0 0 32.39572038
1 0 0 0 0 0 34.0125037
0 -0.75 0 0 0 0 1.489141885
0 -0.7300009009 0 0 0 0 1.242514927
0 -0.7102720598 0 0 0 0 1.005839814
0 -0.6908134769 0 0 0 0 0.8231636885
0 -0.671625152 0 0 0 0 0.6774617474
0 -0.6527070853 0 0 0 0 0.5623631875
0 -0.6340592766 0 0 0 0 0.4709801998
0 -0.615681726 0 0 0 0 0.3975674212
0 -0.5975744336 0 0 0 0 0.3517490908
0 -0.5797373992 0 0 0 0 0.2853238396
0 -0.5621706229 0 0 0 0 0.2418307833
0 -0.5448741048 0 0 0 0 0.2051383463
0 -0.5278478447 0 0 0 0 0.1742784469
0 -0.5110918427 0 0 0 0 0.1477597892
0 -0.4946060988 0 0 0 0 0.1301088518
0 -0.478390613 0 0 0 0 0.1083872423
0 -0.4624453853 0 0 0 0 0.08985278815
0 -0.4467704157 0 0 0 0 0.07442513078
0 -0.4313657042 0 0 0 0 0.06140311254
0 -0.4162312508 0 0 0 0 0.05047611903
0 -0.4013670555 0 0 0 0 0.04147111375
0 -0.3867731183 0 0 0 0 0.03383482822
0 -0.3724494392 0 0 0 0 0.02748952484
0 -0.3583960182 0 0 0 0 0.02229149861
0 -0.3446128553 0 0 0 0 0.01805263025
0 -0.3310999505 0 0 0 0 0.01460296153
0 -0.3178573037 0 0 0 0 0.01181236728
0 -0.3048849151 0 0 0 0 0.009588982124
0 -0.2921827846 0 0 0 0 0.007841237223
0 -0.2797509121 0 0 0 0 0.006464279101
0 -0.2675892978 0 0 0 0 0.005383090383
0 -0.2556979415 0 0 0 0 0.004557397271
0 -0.2440768434 0 0 0 0 0.003944633654
0 -0.2327260033 0 0 0 0 0.003506446256
0 -0.2216454214 0 0 0 0 0.0031905524
0 -0.2108350975 0 0 0 0 0.002962307048
0 -0.2002950318 0 0 0 0 0.002797136546
