# s_x s_a s_y II_00 II_01 II_11 Psi
-0.2638637926 0 0 0 0 0 0.09055606122
-0.2573424522 0 0 0 0 0 0.08941653897
-0.2507691632 0 0 0 0 0 0.08809169542
-0.244143558 0 0 0 0 0 0.0870105772
-0.237465267 0 0 0 0 0 0.08390257606
-0.230733918 0 0 0 0 0 0.08096685419
-0.2239491366 0 0 0 0 0 0.08148863333
-0.2171105462 0 0 0 0 0 0.07858020388
-0.2102177678 0 0 0 0 0 0.1879699729
-0.2032704201 0 0 0 0 0 0.07666256638
-0.1962681193 0 0 0 0 0 0.07743614414
-0.1892104795 0 0 0 0 0 0.1343205113
-0.1820971121 0 0 0 0 0 0.120802179
-0.1749276265 0 0 0 0 0 0.1093271906
-0.1677016294 0 0 0 0 0 0.09658383121
-0.1604187253 0 0 0 0 0 0.09106388004
-0.1530785161 0 0 0 0 0 0.08606178162
-0.1456806014 0 0 0 0 0 0.0816669538
-0.1382245782 0 0 0 0 0 0.0786292648
-0.1307100413 0 0 0 0 0 0.07609314266
-0.1231365827 0 0 0 0 0 0.07379488481
-0.1155037922 0 0 0 0 0 0.07173459734
-0.107811257 0 0 0 0 0 0.06979556483
-0.1000585617 0 0 0 0 0 0.06797131336
-0.0922452885 0 0 0 0 0 0.06630082271
-0.084371017 0 0 0 0 0 0.06475623514
-0.0764353243 0 0 0 0 0 0.06325814476
-0.0684377849 0 0 0 0 0 0.06180040996
-0.0603779706 0 0 0 0 0 0.06044877062
-0.0522554509 0 0 0 0 0 0.05922436825
-0.0440697925 0 0 0 0 0 0.0581659916
-0.0358205594 0 0 0 0 0 0.0572492312
-0.0275073132 0 0 0 0 0 0.05647702831
-0.0191296126 0 0 0 0 0 0.05585959986
-0.010687014 0 0 0 0 0 0.05542393252
-0.0021790707 0 0 0 0 0 0.05525796964
0.006394666 0 0 0 0 0 0.05546075691
0.015034649 0 0 0 0 0 0.05613671269
0.023741332 0 0 0 0 0 0.0576049743
0.032515173 0 0 0 0 0 0.06169282188
0.041356631 0 0 0 0 0 0.07070733339
0.05026617 0 0 0 0 0 0.08493082295
0.059244254 0 0 0 0 0 0.1044385826
0.068291353 0 0 0 0 0 0.1285761182
0.077407938 0 0 0 0 0 0.1571990642
0.086594482 0 0 0 0 0 0.1904120345
0.095851463 0 0 0 0 0 0.2280202048
0.105179359 0 0 0 0 0 0.2705270087
0.114578654 0 0 0 0 0 0.3181245945
0.124049833 0 0 0 0 0 0.371036798
0.133593384 0 0 0 0 0 0.4295150321
0.143209799 0 0 0 0 0 0.4931624097
0.15289957 0 0 0 0 0 0.5630432214
0.162663196 0 0 0 0 0 0.637740202
0.172501177 0 0 0 0 0 0.7201025131
0.182414014 0 0 0 0 0 0.8090469235
0.192402214 0 0 0 0 0 0.9048690397
0.202466287 0 0 0 0 0 1.006932371
0.212606743 0 0 0 0 0 1.115915646
0.222824098 0 0 0 0 0 1.232040578
0.233118869 0 0 0 0 0 1.35548084
0.243491578 0 0 0 0 0 1.486390411
0.253942749 0 0 0 0 0 1.62492725
0.264472908 0 0 0 0 0 1.771433635
0.275082586 0 0 0 0 0 1.926127234
0.285772316 0 0 0 0 0 2.089176632
0.296542635 0 0 0 0 0 2.260753101
0.307394083 0 0 0 0 0 2.441070118
0.318327201 0 0 0 0 0 2.630213623
0.329342536 0 0 0 0 0 2.828373182
0.340440638 0 0 0 0 0 3.035552965
0.351622057 0 0 0 0 0 3.2519683
0.362887351 0 0 0 0 0 3.477699722
0.374237077 0 0 0 0 0 3.713076859
0.385671798 0 0 0 0 0 3.958145427
0.39719208 0 0 0 0 0 4.213062982
0.408798489 0 0 0 0 0 4.478081725
0.4204916 0 0 0 0 0 4.753311376
0.432271986 0 0 0 0 0 5.038983597
0.444140226 0 0 0 0 0 5.335181927
0.456096903 0 0 0 0 0 5.642109299
0.468142601 0 0 0 0 0 5.959926801
0.48027791 0 0 0 0 0 6.288674215
0.49250342 0 0 0 0 0 6.628354995
0.504819729 0 0 0 0 0 6.979365338
0.517227434 0 0 0 0 0 7.341993715
0.529727138 0 0 0 0 0 7.716485187
0.542319447 0 0 0 0 0 8.102913716
0.55500497 0 0 0 0 0 8.501505548
0.56778432 0 0 0 0 0 8.91237324
0.580658114 0 0 0 0 0 9.335369879
0.593626971 0 0 0 0 0 9.770681647
0.606691515 0 0 0 0 0 10.21861971
0.619852372 0 0 0 0 0 10.67976246
0.633110174 0 0 0 0 0 11.15446679
0.646465555 0 0 0 0 0 11.6426123
0.659919153 0 0 0 0 0 12.14470295
0.673471608 0 0 0 0 0 12.66106398
0.687123567 0 0 0 0 0 13.19200429
0.700875678 0 0 0 0 0 13.73774064
0.714728594 0 0 0 0 0 14.29849178
0.72868297 0 0 0 0 0 14.87459508
0.742739468 0 0 0 0 0 15.46633725
0.75689875 0 0 0 0 0 16.07387299
0.771161485 0 0 0 0 0 16.69747808
0.785528343 0 0 0 0 0 17.33725199
0.8 0 0 0 0 0 17.99314142
0 -0.75 0 0 0 0 2.370946559
0 -0.7300009009 0 0 0 0 2.310882316
0 -0.7102720598 0 0 0 0 1.886523234
0 -0.6908134769 0 0 0 0 2.328184678
0 -0.671625152 0 0 0 0 1.497940225
0 -0.6527070853 0 0 0 0 1.469467118
0 -0.6340592766 0 0 0 0 1.089443439
0 -0.615681726 0 0 0 0 0.9256796924
0 -0.5975744336 0 0 0 0 0.7766509335
0 -0.5797373992 0 0 0 0 0.6488607
0 -0.5621706229 0 0 0 0 0.5477820177
0 -0.5448741048 0 0 0 0 0.4657729122
0 -0.5278478447 0 0 0 0 0.4008943061
0 -0.5110918427 0 0 0 0 0.3491939574
0 -0.4946060988 0 0 0 0 0.307231726
0 -0.478390613 0 0 0 0 0.2725589034
0 -0.4624453853 0 0 0 0 0.2433073935
0 -0.4467704157 0 0 0 0 0.2183081568
0 -0.4313657042 0 0 0 0 0.1968001023
0 -0.4162312508 0 0 0 0 0.1784087729
0 -0.4013670555 0 0 0 0 0.1625417744
0 -0.3867731183 0 0 0 0 0.148706972
0 -0.3724494392 0 0 0 0 0.136752471
0 -0.3583960182 0 0 0 0 0.1263277887
0 -0.3446128553 0 0 0 0 0.1172972207
0 -0.3310999505 0 0 0 0 0.1093046773
0 -0.3178573037 0 0 0 0 0.1023579132
0 -0.3048849151 0 0 0 0 0.09630525415
0 -0.2921827846 0 0 0 0 0.09096389479
0 -0.2797509121 0 0 0 0 0.0863623427
0 -0.2675892978 0 0 0 0 0.08236569393
0 -0.2556979415 0 0 0 0 0.07888045857
0 -0.2440768434 0 0 0 0 0.075857547
0 -0.2327260033 0 0 0 0 0.07318438279
0 -0.2216454214 0 0 0 0 0.07087066681
0 -0.2108350975 0 0 0 0 0.06888897397
0 -0.2002950318 0 0 0 0 0.06718730388
0 -0.1900252241 0 0 0 0 0.0657094426
0 -0.1800256745 0 0 0 0 0.06444687992
0 -0.170296383 0 0 0 0 0.06338154306
0 -0.1608373497 0 0 0 0 0.06246222454
0 -0.1516485744 0 0 0 0 0.06166366354
0 -0.1427300572 0 0 0 0 0.0609879859
0 -0.1340817981 0 0 0 0 0.06043484983
0 -0.1257037971 0 0 0 0 0.05999482011
0 -0.1175960542 0 0 0 0 0.0596514234
0 -0.1097585694 0 0 0 0 0.06030536887
0 -0.1021913427 0 0 0 0 0.05964433947
0 -0.09489437413 0 0 0 0 0.05903728318
0 -0.08786766362 0 0 0 0 0.05849002606
